epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5714.09,2.81027,127.624,0.80884,0.04777,0.08059,0.01158,0.00283,3.78285,3.99211,1.79311,0.000555374,0.000555374,0.000555374
2,11726.8,3.30701,3.23426,0.98565,0.06006,0.11393,0.02479,0.00679,3.55214,3.45912,2.08812,0.000836058,0.000836058,0.000836058
3,17173.7,3.16596,2.86886,0.96367,0.06208,0.13702,0.02605,0.00717,3.36629,3.42014,1.84377,0.000841687,0.000841687,0.000841687
4,24010.3,3.03856,2.71499,0.94936,0.07406,0.15621,0.03729,0.01054,3.22325,3.21694,1.90542,0.000429253,0.000429253,0.000429253
