epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8736,2.81681,16.9366,0.8193,0.03709,0.25981,0.02337,0.00592,3.88156,4.17757,1.57165,0.000555606,0.000555606,0.000555606
2,16328.8,2.74347,2.47321,0.81503,0.06807,0.16748,0.03588,0.00986,2.94439,2.58361,2.02011,0.000836233,0.000836233,0.000836233
3,23781,2.66572,2.34969,0.80588,0.0716,0.16935,0.03448,0.00945,2.84424,2.5447,1.94987,0.000841804,0.000841804,0.000841804
4,33184.9,2.60066,2.26945,0.80464,0.07686,0.17883,0.03703,0.01049,3.83682,3.93244,1.88291,0.000429253,0.000429253,0.000429253
